證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,2832064,986,234740002,82.9,83.0,82.7,82.85,0.1,82.85,131,82.9,18,0.0
0051,18000,7,571930,31.79,31.79,31.7,31.7,0.11,31.72,50,31.8,1,0.0
0052,3000,2,171300,57.1,57.1,57.1,57.1,0.0,57.0,1,57.3,1,0.0
0053,38282,7,1399294,36.56,36.57,36.55,36.55,0.12,36.49,50,36.83,8,0.0
0054,0,0,0,,,,,0.0,23.96,50,24.18,9,0.0
0055,63240,16,1051359,16.7,16.7,16.6,16.7,0.09,16.6,57,16.7,3,0.0
0056,513167,359,13326841,26.05,26.05,25.91,25.93,0.08,25.92,4,25.93,9,0.0
0057,2000,2,101850,50.9,50.95,50.9,50.95,0.35,50.7,1,51.0,20,0.0
0058,0,0,0,,,,,0.0,45.85,1,46.22,10,0.0
0059,1000,1,41300,41.3,41.3,41.3,41.3,0.22,41.05,1,41.43,1,0.0
0061,1208301,266,23459889,19.33,19.47,19.33,19.45,0.15,19.43,13,19.45,14,0.0
006203,1000,1,38490,38.49,38.49,38.49,38.49,0.22,38.36,20,38.52,20,0.0
006204,1371,4,72642,54.0,54.0,54.0,54.0,0.3,53.85,20,54.05,100,0.0
006205,2344157,596,77177820,32.91,33.05,32.81,32.94,0.13,32.92,1,32.94,23,0.0
006206,1013485,355,33755480,33.35,33.54,33.2,33.3,0.0,33.29,22,33.3,12,0.0
006207,723351,426,18109042,25.1,25.11,24.96,25.1,0.21,25.08,10,25.1,61,0.0
006208,999,6,47730,,,,,0.0,47.99,10,48.15,1,0.0
00625K,50000,2,357000,7.14,7.14,7.14,7.14,0.02,7.1,50,7.22,20,0.0
00631L,2169100,584,80119550,37.06,37.1,36.75,36.95,0.15,36.88,209,36.95,52,0.0
00632R,45500639,3864,582365839,12.77,12.83,12.77,12.8,0.03,12.8,355,12.81,1750,0.0
00633L,20540600,4189,1042126988,50.65,51.2,50.35,50.65,0.5,50.65,49,50.7,1577,0.0
00634R,1780000,115,11860030,6.65,6.68,6.65,6.66,0.03,6.66,88,6.67,3,0.0
00635U,206000,108,4174990,20.28,20.29,20.25,20.27,0.14,20.25,89,20.27,10,0.0
00636,3463168,848,76126046,21.92,22.07,21.9,21.97,0.08,21.96,28,21.97,66,0.0
